32334 ,	,+CLB
  28 tânêhk	tânêhk+?
  28 tapasîwak	tapasîw+V+AI+Ind+3Pl
  28 otêmiwâwa	nitêm+N+A+D+Px3Pl+Obv
  28 nîstâ	nîstâ+?
  28 kâ-nayahtahk	PV/kaa+nayahtam+V+TI+Cnj+3Sg
  27 ê-takohtêcik	PV/e+takohtêw+V+AI+Cnj+3Pl
  27 ê-itêyimât	PV/e+itêyimêw+V+TA+Cnj+3Sg+4Sg/PlO
  27 âpihtaw	âpihtaw+Ipc
  27 pimâtisiw	pimâtisiw+V+AI+Ind+3Sg
  27 pakwâtam	pakwâtam+V+TI+Ind+3Sg
  27 osk-âya	osk-âyi+N+I+Pl
  27 nâpêsisak	nâpêsis+N+A+Pl
  27 nimis	nimis+N+A+D+Px1Sg+Sg
  27 nama_nânitaw	Iph+Neg
  27 mistik	mistik+Ipc
  27 mihko	mihko+N+I+Sg
  27 kîwê	kîwêw+V+AI+Imp+Imm+2Sg
  27 haw	haw+?
  27 asici	asici+Ipc
  26 ê-kî-ayât	PV/e+PV/ki+ayâw+V+AI+Cnj+3Sg
  26 ê-kiskêyihtahk	PV/e+kiskêyihtam+V+TI+Cnj+3Sg
  26 ê-itâpit	PV/e+itâpiw+V+AI+Cnj+3Sg
  26 âtayôhkêwin	âtayôhkêwin+N+I+Sg
  26 wîkiyihk	nîki+N+I+D+Px4Sg/Pl+Loc
  26 sôniyâw	sôniyâw+N+A+Sg
  26 pihêwak	pihêw+N+A+Pl
  26 opipikwan	pipikwan+N+I+Px3Sg+Sg
  26 onahâhkisîma	ninahâhkisîm+N+A+D+Px3Sg+Obv
  26 nôtokwêw	nôtokwêw+N+A+Sg
  26 nitêm	nitêm+N+A+D+Px1Sg+Sg
  26 nicawâsimisak	nicawâsimisak+?
  26 mîkiwâhpihk	mîkiwâhp+N+I+Loc
  26 my	my+?
  26 miywêyihtamwak	miywêyihtam+V+TI+Ind+3Pl
  26 ka	ka+Ipc
  26 k-êsit	k-êsit+?
  26 iskwêsisak	iskwêsis+N+A+Pl
  26 isiyîhkâtêw	isiyîhkâtêw+?
  26 ayamihêwiyiniw	ayamihêwiyiniw+N+A+Sg
  26 9	Arab+Quant
  25 êkâ_wîhkâc	Iph+Neg
  25 ê-mîcicik	PV/e+mîciw+V+TI+Cnj+3Pl
  25 ê-kî-mîcisocik	PV/e+PV/ki+mîcisow+V+AI+Cnj+3Pl
  25 âyiwâk	âyiwâk+?
  25 wâsakâm	wâsakâm+Ipc
  25 wâpaniyiw	wâpan+V+II+Ind+4Sg
  25 takosinwak	takosin+V+AI+Ind+3Pl
  25 pîhc-âyihk	pîhc-âyihk+Ipc
  25 pêyakwanohk	pêyakwanohk+Ipc
  25 nêwo-tipiskâw	nêwo-tipiskâw+Ipc
  25 nâh	nâh+Ipc
  25 namôya_wîhkâc	Iph+Neg
  25 mâcik	mâcik+?
  25 mistikohk	mistik+N+A+Loc
  25 kêhtê-aya	kêhtê-aya+N+A+Obv
  25 kâ-itwêyit	PV/kaa+itwêw+V+AI+Cnj+4Sg/Pl
  25 kimiyitin	kimiyitin+?
  25 asiskiy	asiskiy+N+I+Sg
  25 Tommy	Tommy+?
  24 êkwayâc	êkwayâc+Ipc
  24 êcika	êcika+Ipc
  24 ê-sipwêhtêyit	PV/e+sipwêhtêw+V+AI+Cnj+4Sg/Pl
  24 ânih	ânih+?
  24 wîkihk	nîki+N+I+D+Px3Sg+Loc
  24 wacôw-awâsis	wacôw-awâsis+?
  24 sâkahikan	sâkahikan+N+I+Sg
  24 pâskac	pâskac+Ipc
  24 one	one+?
  24 nôtikwêw	nôtikwêw+N+A+Sg
  24 niyânan	niyânan+Ipc
  24 minihkwêwin	minihkwêwin+N+I+Sg
  24 maskwayânêtâs	maskwayânêtâs+?
  24 kâw	kâw+?
  24 kâ-pêhtahk	PV/kaa+pêhtam+V+TI+Cnj+3Sg
  24 it	it+?
  24 iskotêw	iskotêw+N+I+Sg
  24 had	had+?
  24 atimwa	atim+N+A+Obv
  24 10	Arab+Quant
  23 êcika_ani	Iph+Interj
  23 ê-nipâcik	PV/e+nipâw+V+AI+Cnj+3Pl
  23 ê-mâtot	PV/e+mâtow+V+AI+Cnj+3Sg
  23 ê-kî-ispayik	PV/e+PV/ki+ispayiw+V+II+Cnj+3Sg
  23 âyiman	âyiman+V+II+Ind+3Sg
  23 wâskahikanihk	wâskahikanihk+Ipc
  23 tôtam	tôtam+V+TI+Ind+3Sg
  23 sîsîpa	sîsîp+N+A+Obv
  23 she	she+?
  23 pisiskiwa	pisiskiw+N+A+Obv
  23 otihtêw	otihtêw+V+TA+Ind+3Sg+4Sg/PlO
  23 osâm_piko	Iph
  23 ocawâsimisa	ocawâsimisa+?
  23 nitôtêm	nitôtêm+N+A+D+Px1Sg+Sg
  23 nimosô	nimosôm+N+A+D+Voc+Sg
  23 nahapiw	nahapiw+V+AI+Ind+3Sg
  23 masinahikan	masinahikan+N+I+Sg
  23 kâ-nîpihk	PV/kaa+nîpin+V+II+Cnj+3Sg
  23 kistês	nistês+N+A+D+Px2Sg+Sg
  23 k-êtwêyân	k-êtwêyân+?
  23 ispatinâhk	ispatinaw+N+I+Loc
  23 isiyîhkâsow	isiyîhkâsow+?
  23 is	is+?
  23 atoskêwin	atoskêwin+N+I+Sg
  23 EM	EM+?
  23 12	Arab+Quant
  22 êkâya_wîhkâc	Iph+Neg
  22 êkwayikohk	êkwayikohk+Ipc
  22 êkosi_mâka	Iph
  22 ê-kî-isiyîhkâsot	ê-kî-isiyîhkâsot+?
  22 tânita	tânita+Ipc
  22 tawâw	tawâw+Ipc
  22 pêtâ	pêtâw+V+TI+Imp+Imm+2Sg
  22 pimohtêw	pimohtêw+V+AI+Ind+3Sg
  22 oti	oti+Ipc
  22 okimâwa	okimâw+N+A+Obv
  22 nik-êtwân	nik-êtwân+?
  22 môniyâw	môniyâw+N+A+Sg
  22 mâcîw	mâcîw+V+AI+Ind+3Sg
  22 miyik	miyêw+V+TA+Imp+Imm+2Pl+1SgO
  22 maht	maht+?
  22 mahkêsîs	mahkêsîs+N+A+Sg
  22 kî	kî+?
  22 cistêmâwa	cistêmâw+N+A+Obv
  22 ay	ay+Ipc
  22 Sam	Sam+?
  22 15	Arab+Quant
  22 11	Arab+Quant
  21 ê-sipwêhtêcik	PV/e+sipwêhtêw+V+AI+Cnj+3Pl
  21 ê-pîhtokêyit	PV/e+pîhtokêw+V+AI+Cnj+4Sg/Pl
  21 ê-mîcisocik	PV/e+mîcisow+V+AI+Cnj+3Pl
  21 ê-kîsikâk	PV/e+kîsikâw+V+II+Cnj+3Sg
  21 ê-kî-osîhtâcik	PV/e+PV/ki+osîhtâw+V+TI+Cnj+3Pl
  21 wîya	wiya+Pron+Pers+3Sg
  21 wawêyîwak	wawêyîw+V+AI+Ind+3Pl
  21 tâni	tâni+Ipc
  21 pîsâkanâpiy	pîsâkanâpiy+N+I+Sg
  21 pêyakokât	pêyakokât+N+A+Sg
  21 pahkwêsikan	pahkwêsikan+N+A+Sg
  21 otina	otinam+V+TI+Imp+Imm+2Sg
  21 nôhtaw	nôhtaw+Ipc
  21 nêkâ	nikâwiy+N+A+D+Voc+Sg
  21 nitomêw	nitomêw+V+TA+Ind+3Sg+4Sg/PlO
  21 nitayân	nitayân+N+I+D+Px1Sg+Sg
  21 nipahêwak	nipahêw+V+TA+Ind+3Pl+4Sg/PlO
  21 nawac_piko	Iph
  21 maywês	maywês+Ipc
  21 kâ-itikot	PV/kaa+itêw+V+TA+Cnj+4Sg/Pl+3SgO
  21 kinêpikwa	kinêpik+N+A+Obv
  21 kawisimôwak	kawisimôwak+?
  21 itâmihk	itâmihk+?
  21 api	apiw+V+AI+Imp+Imm+2Sg
  21 ahpô_êtikwê	Iph
  21 Mrs	Mrs+?
  21 14	Arab+Quant
  21 13	Arab+Quant
  20 ôkik	ôkik+?
  20 êkotowihk	êkotowihk+Ipc
  20 êkot[ê	êkot[ê+?
  20 ê-takosihk	PV/e+takosin+V+AI+Cnj+3Sg
  20 ê-pêkopayit	PV/e+pêkopayiw+V+AI+Cnj+3Sg
  20 ê-otihtahk	PV/e+otihtam+V+TI+Cnj+3Sg
  20 ê-nipâyit	PV/e+nipâw+V+AI+Cnj+4Sg/Pl
  20 ê-kî-osîhtât	PV/e+PV/ki+osîhtâw+V+TI+Cnj+3Sg
  20 ê-kî-itêyihtamân	PV/e+PV/ki+itêyihtam+V+TI+Cnj+1Sg
  20 ê-itwêcik	PV/e+itwêw+V+AI+Cnj+3Pl
  20 ê-itohtêcik	PV/e+itohtêw+V+AI+Cnj+3Pl
  20 ê-ayâyâhk	PV/e+ayâw+V+AI+Cnj+1Pl
  20 âyisiyiniw	âyisiyiniw+?
  20 âskiy	âskiy+?
  20 yahô	yahô+?
  20 wâpiski-wiyâs	wâpiski-wiyâs+N+I+Sg
  20 wiyinwa	wiyin+N+I+Pl
  20 têhtapiw	têhtapiw+V+AI+Ind+3Sg
  20 sîsîpak	sîsîp+N+A+Pl
  20 pîhtokêyiwa	pîhtokêw+V+AI+Ind+4Sg/Pl
  20 piyêsiwa	piyêsiw+N+A+Obv
  20 otinamiyiwa	otinam+V+TI+Ind+4Sg/Pl
  20 omosôma	nimosôm+N+A+D+Px3Sg+Obv
  20 old	old+?
  20 nôhtêhkatêw	nôhtêhkatêw+V+AI+Ind+3Sg
  20 niyâ	niyâ+Ipc
  20 nitawâc	nitawâc+Ipc
  20 ninâpêm	ninâpêm+N+A+D+Px1Sg+Sg
  20 mîcisôw	mîcisôw+?
  20 miskawêw	miskawêw+V+TA+Ind+3Sg+4Sg/PlO
  20 misahkamik	misahkamik+Ipc
  20 kiyikaw	kiyikaw+Ipc
  20 kika-itik	PV/ka+itêw+V+TA+Ind+3Sg+2SgO
  20 katisk	katisk+Ipc
  20 kani	kani+Ipc
  20 itohtê	itohtêw+V+AI+Imp+Imm+2Sg
  20 but	but+?
  20 ayinânêw	ayinânêw+Ipc
  20 awas	awas+Ipc
  20 aciyaw	aciyaw+Ipc
  20 16	Arab+Quant
  19 ôtê_isi	Iph
  19 ômatowihk	ômatowihk+Ipc
  19 ê-miywâsiniyik	PV/e+miywâsin+V+II+Cnj+4Sg
  19 ê-misikitiyit	PV/e+misikitiw+V+AI+Cnj+4Sg/Pl
  19 ê-kî-nipahât	PV/e+PV/ki+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  19 ê-itêyihtah	ê-itêyihtah+?
  19 ê-ati-sipwêhtêt	PV/e+PV/ati+sipwêhtêw+V+AI+Cnj+3Sg
  19 wîki	nîki+N+I+D+Px3Sg+Sg
  19 sîpiy	sîpiy+N+I+Sg
  19 sâkahikanihk	sâkahikan+N+I+Loc
  19 pêyâhtik	pêyâhtik+?
  19 nêwâw	nêwâw+Ipc
  19 nâtakâm	nâtakâm+Ipc
  19 nika-ayân	PV/ka+ayâw+V+AI+Ind+1Sg
  19 miyâmay	miyâmay+Ipc
  19 manitow	manitow+N+A+Sg
  19 kîsta	kîsta+Pron+Pers+2Sg+Incl
  19 kisîm	nisîm+N+A+D+Px2Sg+Sg
  19 kisê-manitow	kisê-manitow+N+A+Sg
  19 kaspwân	kaspwân+?
  19 ayâyiwa	ayâw+V+AI+Ind+4Sg/Pl
  19 ay-ayâw	RdplW+ayâw+V+AI+Ind+3Sg
  18 îskwêwak	îskwêwak+?
  18 ê-waniskât	PV/e+waniskâw+V+AI+Cnj+3Sg
  18 ê-pimisihk	PV/e+pimisin+V+AI+Cnj+3Sg
  18 ê-kî-isit	PV/e+PV/ki+itêw+V+TA+Cnj+3Sg+1SgO
  18 ê-kiskêyihtamân	PV/e+kiskêyihtam+V+TI+Cnj+1Sg
  18 ê-itwêyit	PV/e+itwêw+V+AI+Cnj+4Sg/Pl
  18 ê-itak	PV/e+itêw+V+TA+Cnj+1Sg+3SgO
  18 âhci	âhci+Ipc
  18 waniskâ	waniskâw+V+AI+Imp+Imm+2Sg
  18 wacaskwa	wacask+N+A+Obv
  18 tahtwâw	tahtwâw+Ipc
  18 pîsimôwâsis	pîsimôwâsis+?
  18 pêyak-pîsim	pêyak-pîsim+Ipc
  18 pâhpiw	pâhpiw+V+AI+Ind+3Sg
  18 otihtam	otihtam+V+TI+Ind+3Sg
  18 opâskisikan	pâskisikan+N+I+Px3Sg+Sg
  18 nôhcâwîs	nôhcâwîs+N+A+D+Px1Sg+Sg
  18 nîwa	wîwa+N+A+D+Px1Sg+Obv
  18 nipâwak	nipâw+V+AI+Ind+3Pl
  18 nikî-wâpamâw	PV/ki+wâpamêw+V+TA+Ind+1Sg+3SgO
  18 nikotwâsik	nikotwâsik+Ipc
  18 namôya_nânitaw	Iph+Neg
  18 nama_mayaw	Iph
  18 nahiyikohk	nahiyikohk+Ipc
  18 môswa	môswa+N+A+Obv
  18 mêskanaw	mêskanaw+N+I+Sg
  18 maskihkiya	maskihkiy+N+I+Pl
  18 kîwêhtahêw	kîwêhtahêw+V+TA+Ind+3Sg+4Sg/PlO
  18 kîspin_êkâ	Iph
  18 kîmôc	kîmôc+Ipc
  18 kî-itwêwak	PV/ki+itwêw+V+AI+Ind+3Pl
  18 kâ-pipohk	PV/kaa+pipon+V+II+Cnj+3Sg
  18 kistêsinaw	nistês+N+A+D+Px12Pl+Sg
  18 kah	kah+?
  18 k-êsiyîhkâtêk	k-êsiyîhkâtêk+?
  18 cîkahikan	cîkahikan+N+I+Sg
  18 atimwak	atim+N+A+Pl
  18 akâmihk	akâmihk+Ipc
  17 ôyâ	ôyâ+?
  17 êyiwêhk	êyiwêhk+Ipc
  17 êkwa_ani	Iph
  17 ê-wâpahtahk	PV/e+wâpahtam+V+TI+Cnj+3Sg
  17 ê-tapasît	PV/e+tapasîw+V+AI+Cnj+3Sg
  17 ê-otihtât	PV/e+otihtêw+V+TA+Cnj+3Sg+4Sg/PlO
  17 ê-miyosiyit	PV/e+miyosiw+V+AI+Cnj+4Sg/Pl
  17 ê-mihcêticik	PV/e+mihcêtiwak+V+AI+Cnj+3Pl
  17 ê-kîsi-mîcisot	PV/e+kîsi-mîcisow+V+AI+Cnj+3Sg
  17 ê-kî-ayâyâhk	PV/e+PV/ki+ayâw+V+AI+Cnj+1Pl
  17 ê-astât	PV/e+astâw+V+TI+Cnj+3Sg
  17 âyîtaw	âyîtaw+Ipc
  17 yâ	yâ+?
  17 wîsahkêcâhkwa	wîsahkêcâhk+N+A+Obv
  17 wîpisisa	wîpisis+N+A+Obv
  17 wâwâc	wâwâc+Ipc
  17 that's	that's+?
  17 sîpâ	sîpâ+Ipc
  17 pîhtokêwak	pîhtokêw+V+AI+Ind+3Pl
  17 pîhtokê	pîhtokêw+V+AI+Imp+Imm+2Sg
  17 pikoyikohk	pikoyikohk+Ipc
  17 ostikwânihk	mistikwân+N+I+D+Px3Sg+Loc
  17 oskotâkay	miskotâkay+N+I+D+Px3Sg+Sg
  17 osisa	nisis+N+A+D+Px3Sg+Obv
  17 oh	oh+?
  17 nîpawiw	nîpawiw+V+AI+Ind+3Sg
  17 nêki	awa+Pron+Dem+Dist+A+Pl
  17 namôya_wiya	Iph
  17 môniyâs	môniyâs+N+A+Sg
  17 mistikwa	mistik+N+I+Pl
  17 mihkwêkin	mihkwêkin+N+I+Sg
  17 manitôwiw	manitôwiw+V+AI+Ind+3Sg
  17 manitôw	manitôw+?
  17 kâ-sipwêhtêt	PV/kaa+sipwêhtêw+V+AI+Cnj+3Sg
  17 kinosêwak	kinosêw+N+A+Pl
  17 have	have+?
  17 askiya	askiy+N+I+Pl
  17 asiniya	asiniy+N+I+Pl
  16 ôskinîkiw	ôskinîkiw+?
  16 êskana	êskan+N+A+Obv
  16 êkây_wîhkâc	Iph+Neg
  16 ê-wîkicik	PV/e+wîkiw+V+AI+Cnj+3Pl
  16 ê-pimisiniyit	PV/e+pimisin+V+AI+Cnj+4Sg/Pl
  16 ê-otâkosik	PV/e+otâkosin+V+II+Cnj+3Sg
  16 ê-otinât	PV/e+otinêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 ê-nitonawât	PV/e+nitonawêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 ê-manitôwit	PV/e+manitôwiw+V+AI+Cnj+3Sg
  16 ê-kî-tôtahk	PV/e+PV/ki+tôtam+V+TI+Cnj+3Sg
  16 ê-kitâpamikot	PV/e+kitâpamêw+V+TA+Cnj+4Sg/Pl+3SgO
  16 ê-itahtopiponêyân	PV/e+itahtopiponêw+V+AI+Cnj+1Sg
  16 ê-ayâyân	PV/e+ayâw+V+AI+Cnj+1Sg
  16 ê-astêyik	PV/e+astêw+V+II+Cnj+4Sg
  16 âcimôw	âcimôw+?
  16 wîhtikôwa	wîhtikôwa+?
  16 wîhtamawêw	wîhtamawêw+V+TA+Ind+3Sg+4Sg/PlO
  16 wîhkât	wîhkât+Ipc
  16 wêskwâhtêmihk	wêskwâhtêmihk+Ipc
  16 wiyin	wiyin+N+I+Sg
  16 uh	uh+?
  16 tipiskâw	tipiskâw+V+II+Ind+3Sg
  16 sôniyâwa	sôniyâw+N+A+Obv
  16 sapiko	sapiko+Ipc
  16 pêskis	pêskis+Ipc
  16 piko_itê	Iph
  16 otayiwinisiyiwa	otayiwinisiyiwa+?
  16 otayiwinisa	otayiwinisa+?
  16 nâ	nâ+Ipc
  16 nititwân	itwêw+V+AI+Ind+1Sg
  16 nistim	nistim+N+A+D+Px1Sg+Sg
  16 ninahâhkim	ninahâhkim+N+A+D+Px1Sg+Sg
  16 nikî-itik	PV/ki+itêw+V+TA+Ind+3Sg+1SgO
  16 nik-âtotên	nik-âtotên+?
  16 môswa	môswa+N+A+Sg
  16 môniyâsak	môniyâs+N+A+Pl
  16 mihcêtiwak	mihcêtiwak+V+AI+Ind+3Pl
  16 maskihkîwiyiniw	maskihkîwiyiniw+N+A+Sg
  16 mahîhkana	mahîhkana+?
  16 kâ-wâpamâcik	PV/kaa+wâpamêw+V+TA+Cnj+3Pl+4Sg/PlO
  16 kâ-nipahât	PV/kaa+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  16 kotokwaskisin	kotokwaskisin+?
  16 kiy	kiy+?
  16 kika-itâw	PV/ka+itêw+V+TA+Ind+2Sg+3SgO
  16 itêwak	itêw+V+TA+Ind+3Pl+4Sg/PlO
  16 iskwêyâc	iskwêyâc+Ipc
  16 ayihk	ayihk+Ipc
  16 aspapiwin	aspapiwin+N+I+Sg
  16 asiniy	asiniy+N+A+Sg
  16 asamâw	asamêw+V+TA+Ind+X+3SgO
  16 Mary	Mary+N+Prop+Sg
  16 21	Arab+Quant
  16 17	Arab+Quant
  15 êkâ_nânitaw	Iph+Neg
  15 êkwêyâk	êkwêyâk+Ipc
  15 êkosi_ani	Iph
  15 ê-pîhtokêcik	PV/e+pîhtokêw+V+AI+Cnj+3Pl
  15 ê-pimohtêcik	PV/e+pimohtêw+V+AI+Cnj+3Pl
  15 ê-mîcisot	PV/e+mîcisow+V+AI+Cnj+3Sg
  15 ê-kî-tôtahkik	PV/e+PV/ki+tôtam+V+TI+Cnj+3Pl
  15 ê-itohtêyân	PV/e+itohtêw+V+AI+Cnj+1Sg
  15 ê-ay-apit	PV/e+ay-apiw+V+AI+Cnj+3Sg
  15 ê-ati-wayawît	PV/e+PV/ati+wayawîw+V+AI+Cnj+3Sg
  15 ê-asamât	PV/e+asamêw+V+TA+Cnj+3Sg+4Sg/PlO
  15 wîscâsa	nîscâs+N+A+D+Px3Sg+Obv
  15 wîcêwêw	wîcêwêw+V+TA+Ind+3Sg+4Sg/PlO
  15 wâposwak	wâpos+N+A+Pl
  15 wâhyawês	wâhyawês+Ipc
  15 wah	wah+Ipc
  15 tâpwêhtam	tâpwêhtam+V+TI+Ind+3Sg
  15 tâpwê_wiya	Iph
  15 tânitahto	tânitahto+Ipc
  15 there	there+?
  15 takohtêyiwa	takohtêw+V+AI+Ind+4Sg/Pl
  15 tahkohc	tahkohc+Ipc
  15 sôsimâna	sôsimân+N+A+Obv
  15 sîpîsis	sîpîsis+N+I+Sg
  15 pâkahkosa	pâkahkosa+?
  15 piyêsiw	piyêsiw+N+A+Sg
  15 pimâtisiwin	pimâtisiwin+N+I+Sg
  15 pimâtisiwak	pimâtisiw+V+AI+Ind+3Pl
  15 pahkisin	pahkisin+V+AI+Ind+3Sg
  15 onâpêmiwâwa	ninâpêm+N+A+D+Px3Pl+Obv
  15 omâmâwa	omâmâwa+?
  15 okisêwâtisiwin	kisêwâtisiwin+N+I+Px3Sg+Sg
  15 nîsosâp	nîsosâp+Ipc
  15 nistwâw	nistwâw+Ipc
  15 nipâyiwa	nipâw+V+AI+Ind+4Sg/Pl
  15 nipakwâtên	pakwâtam+V+TI+Ind+1Sg
  15 nikikwa	nikik+N+A+Obv
  15 nika-sipwêhtân	PV/ka+sipwêhtêw+V+AI+Ind+1Sg
  15 mîcisôwak	mîcisôwak+?
  15 mâcika	mâcika+Ipc
  15 mohcihk	mohcihk+Ipc
  15 miyâw	miyêw+V+TA+Ind+X+3SgO
  15 miskam	miskam+V+TI+Ind+3Sg
  15 misakâmê	misakâmê+Ipc
  15 kîwêtinohk	kîwêtinohk+Ipc
  15 kî-~	kî-~+?
  15 kâ-kî-itiht	PV/kaa+PV/ki+itêw+V+TA+Cnj+X+3SgO
  15 kwayas	kwayas+Ipc
  15 kostêw	kostêw+V+TA+Ind+3Sg+4Sg/PlO
  15 kisik	kisik+Ipc
  15 kinosêwa	kinosêw+N+A+Obv
  15 k-âyât	k-âyât+?
  15 eh	eh+?
  15 ayiwâkês	ayiwâkês+Ipc
  15 ayamihâwin	ayamihâwin+N+I+Sg
  15 ay-ayâwak	RdplW+ayâw+V+AI+Ind+3Pl
  15 atim	atim+N+A+Sg
  15 astâw	astâw+V+TI+Ind+3Sg
  15 astotin	astotin+N+I+Sg
  15 ahpô_cî	Iph
  15 Frank	Frank+N+Prop+Sg
  15 23	Arab+Quant
  15 22	Arab+Quant
  15 20	Arab+Quant
  15 19	Arab+Quant
  15 18	Arab+Quant
  14 ôti	ôti+Ipc
  14 ô	ô+Ipc
  14 ê-wâpamâcik	PV/e+wâpamêw+V+TA+Cnj+3Pl+4Sg/PlO
  14 ê-wâpamak	PV/e+wâpamêw+V+TA+Cnj+1Sg+3SgO
  14 ê-pêyakot	PV/e+pêyakow+V+AI+Cnj+3Sg
  14 ê-osîhtâcik	PV/e+osîhtâw+V+TI+Cnj+3Pl
  14 ê-okimâwit	PV/e+okimâwiw+V+AI+Cnj+3Sg
  14 ê-nîmihitocik	PV/e+nîmihitow+V+AI+Cnj+3Pl
  14 ê-misâyik	PV/e+misâw+V+II+Cnj+4Sg
  14 ê-kî-ayâcik	PV/e+PV/ki+ayâw+V+AI+Cnj+3Pl
  14 ê-itêyihtahkik	PV/e+itêyihtam+V+TI+Cnj+3Pl
  14 ê-itwêyân	PV/e+itwêw+V+AI+Cnj+1Sg
  14 âwâsisak	âwâsisak+?
  14 âspin	âspin+?
  14 âhkamêyimo	âhkamêyimow+V+AI+Imp+Imm+2Sg
  14 âcimôwin	âcimôwin+?
  14 âcimostawêw	âcimostawêw+V+TA+Ind+3Sg+4Sg/PlO
  14 wâwâskêsiwa	wâwâskêsiw+N+A+Obv
  14 what	what+?
  14 wayawîwak	wayawîw+V+AI+Ind+3Pl
  14 têpakohp	têpakohp+Ipc
  14 tâniwâ	tâniwâ+?
  14 two	two+?
  14 tapasîyiwa	tapasîw+V+AI+Ind+4Sg/Pl
  14 pîsim	pîsim+N+A+Sg
  14 pîkiskwêw	pîkiskwêw+V+AI+Ind+3Sg
  14 pêyakosâp	pêyakosâp+Ipc
  14 pâmwayês	pâmwayês+Ipc
  14 pâh-pêyak	pâh-pêyak+Ipc
  14 otâpânâskwak	otâpânâsk+N+A+Pl
  14 osôsimâna	sôsimân+N+A+Px3Sg+Obv
  14 ospwâkana	ospwâkan+N+A+Obv
  14 osita	misit+N+I+D+Px3Sg+Pl
  14 okimâwak	okimâw+N+A+Pl
  14 nôcokwêsiw	nôcokwêsiw+N+A+Sg
  14 nîsitanaw	nîsitanaw+Ipc
  14 niwî-nipahik	PV/wi+nipahêw+V+TA+Ind+3Sg+1SgO
  14 nitonawêw	nitonawêw+V+TA+Ind+3Sg+4Sg/PlO
  14 nipahâw	nipahêw+V+TA+Ind+X+3SgO
  14 nipahik	nipahêw+V+TA+Ind+4Sg/Pl+3SgO
  14 nama-kîkway	nama-kîkway+?
  14 n	n+?
  14 mâcikôtitan	mâcikôtitan+?
  14 miskwamîhk	miskwamiy+N+A+Loc
  14 miscikos	miscikos+N+I+Sg
  14 mhi	mhi+?
  14 matokahpihk	matokahp+N+I+Loc
  14 maskwacîsihk	maskwacîsihk+Ipc
  14 man	man+?
  14 kîwêhtatâw	kîwêhtatâw+V+TI+Ind+3Sg
  14 kî-âyiman	PV/ki+âyiman+V+II+Ind+3Sg
  14 kî-ayâwak	PV/ki+ayâw+V+AI+Ind+3Pl
  14 kâ-kî-oyôhtâwîyân	PV/kaa+PV/ki+oyôhtâwîw+V+AI+Cnj+1Sg
  14 kâ-ayâyit	PV/kaa+ayâw+V+AI+Cnj+4Sg/Pl
  14 kâ-ayâ-t	kâ-ayâ-t+?
  14 kitatamihin	kitatamihin+Ipc
  14 kikosis	nikosis+N+A+D+Px2Sg+Sg
  14 k-âyâyâhk	k-âyâyâhk+?
  14 k	k+?
  14 ispayiw	ispayiw+V+AI+Ind+3Sg
  14 ayahk	ayahk+Ipc
  14 ay-apiw	ay-apiw+V+AI+Ind+3Sg
  14 atâwâkana	atâwâkan+N+I+Pl
  14 aside	aside+?
  14 apiyiwa	apiw+V+AI+Ind+4Sg/Pl
  14 an[i	an[i+?
  14 akohpa	akohp+N+I+Pl
  14 Ahenakew	Ahenakew+?
  14 24	Arab+Quant
  13 îspî	îspî+?
  13 êtokw	êtokw+?
  13 êkosi_pitamâ	Iph+Ipt
  13 êkos-îsi	êkos-îsi+?
  13 êkamâ	êkamâ+Ipc
  13 êcika_ôma	Iph+Interj
  13 ê-wîcêwât	PV/e+wîcêwêw+V+TA+Cnj+3Sg+4Sg/PlO
  13 ê-waniskâcik	PV/e+waniskâw+V+AI+Cnj+3Pl
  13 ê-têhtapit	PV/e+têhtapiw+V+AI+Cnj+3Sg
  13 ê-paminawasot	PV/e+paminawasow+V+AI+Cnj+3Sg
  13 ê-mâyâtahk	PV/e+mâyâtan+V+II+Cnj+3Sg
  13 ê-mâcîcik	PV/e+mâcîw+V+AI+Cnj+3Pl
  13 ê-kîsihtât	PV/e+kîsihtâw+V+TI+Cnj+3Sg
  13 ê-kî-osîhât	PV/e+PV/ki+osîhêw+V+TA+Cnj+3Sg+4Sg/PlO
  13 ê-kî-miyohtwât	PV/e+PV/ki+miyohtwâw+V+AI+Cnj+3Sg
  13 ê-kî-itât	PV/e+PV/ki+itêw+V+TA+Cnj+3Sg+4Sg/PlO
  13 ê-kiskêyihtahkik	PV/e+kiskêyihtam+V+TI+Cnj+3Pl
  13 ê-iskwâk	PV/e+iskwâw+V+II+Cnj+3Sg
  13 ê-atoskêt	PV/e+atoskêw+V+AI+Cnj+3Sg
  13 âpihtâ-kîsikâhk	âpihtâ-kîsikâhk+Ipc
  13 âhêy	âhêy+Ipc
  13 âhkosiw	âhkosiw+V+AI+Ind+3Sg
  13 yêkawiskâwikamâhk	yêkawiskâwikamâhk+Ipc
  13 wâskahikanis	wâskahikanis+N+I+Sg
  13 wâskahikana	wâskahikan+N+I+Pl
  13 wâpos	wâpos+N+A+Sg
  13 tâniyikohk	tâniyikohk+Ipc
  13 ta	ta+?
  13 pîwâpisk	pîwâpisk+N+A+Sg
  13 pîhtaw	pîhtaw+Ipc
  13 pâskiswêw	pâskiswêw+V+TA+Ind+3Sg+4Sg/PlO
