32334 ,	,+CLB
  34 nôsisimis	nôsisim+N+A+D+Der/Dim+nôsisim+N+A+D+Px1Sg+Sg
  34 nanâtohk_kîkway	Iph
  34 mwâc	mwâc+?
  34 kî-itwêw	PV/ki+itwêw+V+AI+Ind+3Sg
  34 awîn	awîn+?
  34 5	Arab+Quant
  33 ôtênâhk	ôtênâhk+Ipc
  33 wîhtikôw	wîhtikôw+?
  33 wâwîs	wâwîs+Ipc
  33 nîswâw	nîswâw+Ipc
  33 nêma	ôma+Pron+Dem+Dist+I+Sg
  33 nisîmitik	nisîm+N+A+D+Voc+Pl
  33 nistês	nistês+N+A+D+Px1Sg+Sg
  33 mostos	mostos+N+A+Sg
  33 miywâsin	miywâsin+V+II+Ind+3Sg
  33 maskosiya	maskosiy+N+I+Pl
  33 kiyânaw	wiyaw+N+I+D+Px12Pl+Sg
  33 kikiskêyihtên	kiskêyihtam+V+TI+Ind+2Sg
  33 itâp	itâp+Ipc
  33 fault	fault+?
  32 ê-pimâtisit	PV/e+pimâtisiw+V+AI+Cnj+3Sg
  32 ê-osîhtât	PV/e+osîhtâw+V+TI+Cnj+3Sg
  32 ê-kîsi-mîcisocik	PV/e+kîsi-mîcisow+V+AI+Cnj+3Pl
  32 ê-ihtât	PV/e+ihtâw+V+AI+Cnj+3Sg
  32 pitamâ	pitamâ+Ipc
  32 of	of+N+Prop+Sg
  32 nôtokêsiwa	nôtokêsiw+N+A+Obv
  32 nôsisim	nôsisim+N+A+D+Px1Sg+Sg
  32 namôy_wîhkâc	Iph+Neg
  32 mâmaskâc	mâmaskâc+?
  32 misatim	misatim+N+A+Sg
  32 mihcêtwâw	mihcêtwâw+Ipc
  32 mac-ôhôw	mac-ôhôw+?
  32 kâ-miyosit	PV/kaa+miyosiw+V+AI+Cnj+3Sg
  32 kiskinohamâtowikamikohk	kiskinohamâtowikamikohk+?
  32 k-êtât	k-êtât+?
  32 apiw	apiw+V+AI+Ind+3Sg
  32 8	Arab+Quant
  32 6	Arab+Quant
  31 êkospîhk	êkospîhk+Ipc
  31 âyisiyiniwak	âyisiyiniwak+?
  31 wâhwâ	wâhwâ+?
  31 sôhki	sôhki+Ipc
  31 pâkahkos	pâkahkos+?
  31 nîscâs	nîscâs+N+A+D+Px1Sg+Sg
  31 nîkinâhk	nîki+N+I+D+Px1Pl+Loc
  31 nicâhkos	nicâhkos+N+A+D+Px1Sg+Sg
  31 kawisimôw	kawisimôw+?
  30 êcik	êcik+?
  30 ê-sakâyik	PV/e+sakâw+V+II+Cnj+4Sg
  30 ê-nipahât	PV/e+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  30 ê-kîwêt	PV/e+kîwêw+V+AI+Cnj+3Sg
  30 ê-kitâpamât	PV/e+kitâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
  30 ê-isit	PV/e+itêw+V+TA+Cnj+3Sg+1SgO
  30 kiwîkimâkan	niwîkimâkan+N+A+D+Px2Sg+Sg
  30 iskwêsis	iskwêsis+N+A+Sg
  30 cikêmâ	cikêmâ+Ipc
  30 anik	anik+?
  30 7	Arab+Quant
  29 ôtênaw	ôtênaw+N+I+Sg
  29 êkosi_mîna	Iph
  29 ê-wayawît	PV/e+wayawîw+V+AI+Cnj+3Sg
  29 ê-tôtahk	PV/e+tôtam+V+TI+Cnj+3Sg
  29 ê-apiyit	PV/e+apiw+V+AI+Cnj+4Sg/Pl
  29 takohtêwak	takohtêw+V+AI+Ind+3Pl
  29 sisonê	sisonê+Ipc
  29 pahkêkin	pahkêkin+N+I+Sg
  29 nâway	nâway+Ipc
  29 nipâw	nipâw+V+AI+Ind+3Sg
  29 kôhtâwiy	nôhtâwiy+N+A+D+Px2Sg+Sg
  29 kîwêwak	kîwêw+V+AI+Ind+3Pl
  29 kâ-itwêt	PV/kaa+itwêw+V+AI+Cnj+3Sg
  29 kisêyiniwak	kisêyiniw+N+A+Pl
  29 kapê-tipisk	kapê-tipisk+Ipc
  29 gesture	gesture+?
  29 askîhk	askîhk+Ipc
  28 ôhow	ôhow+N+A+Sg
  28 ê-mâcît	PV/e+mâcîw+V+AI+Cnj+3Sg
  28 ê-apit	PV/e+apiw+V+AI+Cnj+3Sg
  28 waniskâw	waniskâw+V+AI+Ind+3Sg
